LOT,LOT_TYPE,OWNERNAME,CAREOFNAME,ADDRESS1,ADDRESS2,CITYSTZIP,PROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KWH,NATURALGASUSE_THERMS,LATITUDE,LONGITUDE
48,1,REINCE PRIEBUS TRUSTEES,REPUBLIC NATIONAL COMM,310 1ST ST SE, ,"WASHINGTON, DC 20003-1885",Republican National Committee,0310 1ST ST SE,EDWARD W GILLESPIE,1971,Office,86102,39,89,89,268,267,881,10.23205036,"2,652",1878182,4258,38.88541061,-77.00552243
75,1,REPUBLIC 20TH STREET LLC, ,500 CHESTERFIELD PKWY, ,"MALVERN, PA 19355-8707",*50024 - 1129 20th Street NW,1129 20TH ST,REPUBLIC 20TH STREET LLC,2009,Office,139224,84,57.5,57.5,180.4,180.4,1325.2,9.518473826,2367,3066942,6.189,38.90454833,-77.04449266
826,2,REPUBLIC NATL DISTRIBUTING COMPANY LLC, ,1 NATIONAL DR SW, ,"ATLANTA, GA 30336-1631",Republic NAtional Distributing,4235 SHERIFF RD NE,REPUBLIC NATL DISTRIBUTING COMPANY LLC,1985,Distribution Center,155000,35,87,87,99,99,425,2.741935484,"1,762",98442,71450,38.90206989,-76.94085609
35,1,RG-1101 K LLC, ,PO BOX 1368, ,"CARLSBAD, CA 92018-1368",1101 K Street,1101 K ST,RG-1101 K LLC,2006,Office,453141,86,59,59,184,184,2461,5.430980644,"6,758",5387866,0,38.90294764,-77.02763357
885,2,RH 1229-1231 25TH STREET LLC,VORNADO/CHARLES E SMITH,2345 CRYSTAL DR, ,"ARLINGTON, VA 22202-4801",WestEnd25,1229-1231 25TH ST,RH 1229-1231 25TH STREET LLC,2010,Multifamily Housing,298475,48,59,59,147,146,1741,5.832984337,"7,291",3215525,51286,38.90650277,-77.05276719
127,1,RHODE ISLAND 15 LP,RYAN LLC,13155 NOEL RD, ,"DALLAS, TX 75240-5090",Latrobe (18001),1325 15TH ST NW,RHODE ISLAND 15 LP,1980,Multifamily Housing,175339,0,55.1,55.4,151.3,151.6,696,3.969453459,4288.5,1467749,11648,38.90871263,-77.03418085
824,2,RHODIUM LLC,EMPIRE LEASING,1627 K ST NW # LL, ,"WASHINGTON, DC 20006-1702","RHODIUM, LLC",1420 K ST NW,RHODIUM LLC,1978,Office,64580,22,109,108,342,340,805,12.46515949,"3,914",1761687,0,38.90212696,-77.03280838
12,1,RIDC LLC, ,9737 WASHINGTONIAN BLVD, ,"GAITHERSBURG, MD 20878-7337",57151-Wash DC Thomas CIR,1121 VERMONT AV NW,RIDC LLC,1999,Hotel,255003,57,74,72,193,188,1348,5.286212319,"3,594",2610665,29315,38.90435834,-77.03235836
812,2,RIGGS BANK N.A. TRUSTEE, ,7315 WISCONSIN AVE, ,"BETHESDA, MD 20814-3202",Patriots Plaza II - 2261,375 E ST,RIGGS BANK N.A. TRUSTEE,2009,Office,484047,99,31.2,74,231,104.3,1525.53,3.151615442,"4,138",3157343.7,0,38.88407355,-77.01706372
813,2,RIGGS BANK N.A. TRUSTEE,ALTUS GROUP,PO BOX 92129, ,"SOUTHLAKE, TX 76092-0102",Patriots Plaza III - 2262,355 E ST,RIGGS BANK N.A. TRUSTEE,2009,Office,572413,43,88.5,62.9,197.4,295.7,2534.26,4.427327821,3797.8,5245084.3,0,38.88373186,-77.01644647
811,2,RIGGS BANK NA TRUSTEE,ALTUS GROUP,PO BOX 92129, ,"SOUTHLAKE, TX 76092-0102",Patriots Plaza I - 2061 (EPL),0410 4TH ST,RIGGS BANK TRUSTEE,2005,Office,294130,78,60,60,187,187,2344,7.969265291,"3,635",5131535,0,38.88363217,-77.0170961
810,2,RING ASSOCIATES LLC, ,1200 18TH ST NW STE 1010, ,"WASHINGTON, DC 20036-2562",The Ring Building,1200 18TH ST NW,RING ASSOCIATES LLC,1946,Office,192584,56,76,74,237,233,1949,10.12025921,"5,054",4265989,0,38.90598826,-77.04210182
819,2,RIVER PARK MUTUAL HOMES INC, ,1301 DELAWARE AVE SW, ,"WASHINGTON, DC 20024-3929",River Park Mutual Homes Inc.,1301 DELAWARE AV SW,RIVER PARK MUTUAL HOMES INC,1960,Multifamily Housing,363870,31,68.1,68,103.3,102.8,1746,4.798417017,19934.1,1643225,195207.887,38.8738094,-77.01563673
851,2,RLJ III HS WASHINGTON DC LLC, ,3 BETHESDA METRO CTR STE 1000, ,"BETHESDA, MD 20814-6347",Washington DC HWS,1475 MASSACHUSETTS AV NW,RLJ III HS WASHINGTON DC LLC,2001,Hotel,154688,31,87.8,88,226.7,226.9,1232.2,7.965711626,8199.6,2474303,30736.462,38.9066477,-77.0335128
803,2,ROCKBURNE ESTATES LP,PATRIOT MGMT,4823 FAIRMONT AVE, ,"BETHESDA, MD 20814-6028",Rockburne Estates,2700 - 2722 SHIPLEY TR SE,ROCKBURNE ESTATES LP,1964,Multifamily Housing,247632,100,16.1,21,31,31,211,0.852070815,"12,829",295595,39750.53,38.85083049,-76.96958948
801,2,ROLLING TERRACE LLC,BORGER CO,1111 14TH ST NW STE 200, ,"WASHINGTON, DC 20005-5622",Rolling Terrace,1360 PEABODY ST NW,ROLLING TERRACE LLC,1941,Multifamily Housing,50268,47,77,76,119,118,279,5.550250656,"3,712",272049,29150,38.96270002,-77.03233183
47,1,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,CATHOLIC SHRINE MOST BLESSED,6001 WESTERN AVE NW, ,"WASHINGTON, DC 20015-2423",Blessed Sacrament School,5841 CHEVY CHASE PKWY NW,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,1928,K-12 School,83290,52,61,58,146,141,535,6.423340137,131,961554,17944,38.96814012,-77.07521916
95,1,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON, ,3514 O ST NW, ,"WASHINGTON, DC 20007-2613",Holy Trinity Church and School,3514 O ST NW,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,1918,K-12 School,80278,58,76,75,145,144,493,6.141159471,838,688470,33545,38.90722324,-77.0698503
861,2,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,OFFICE OF SECRETARY OF FINANCE,PO BOX 29260, ,"WASHINGTON, DC 20017-0260",Cathedral of St. Matthew the Apostle,1721 RHODE ISLAND AV,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,1895,Worship Facility,52328,13,71,69,152,148,461,8.809815013,419,742331,22903,38.90642574,-77.04006763
305,1,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON, ,PO BOX 29260, ,"WASHINGTON, DC 20017-0260",Our Lady Queen of the Americas,2200 CALIFORNIA ST NW,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,1903,K-12 School,89326,79,55,54,109,107,347,3.884647247,"1,417",506236,21759,38.91549787,-77.049234
834,2,ROMAN CATHOLIC ARCHBISHOP WASHINGTON,ST THOMAS MOORE CATHOLI,4275 4TH ST SE, ,"WASHINGTON, DC 20032-3310",St Thomas More,4275 4TH ST SE,ROMAN CATHOLIC ARCHBISHOP WASHINGTON,1950,K-12 School,53697,100,15,14,43,43,121,2.253384733,516,256072,734,38.82446586,-77.00010026
846,2,ROSCHE/888 FIRST STREET NE LLC,GREENEBAUM & ROSE ASSOC,5301 WISCONSIN AVE NW STE 510, ,"WASHINGTON, DC 20015-2060",FERC,0888 1ST ST NE,ROSCHE/888 FIRST STREET NE LLC,1995,Office,500000,82,74,73,209,207,5022,10.044,"9,193",10300910,58526,38.90154581,-77.00704066
27,1,RPT 1425 NEW YORK AVE LLC, ,500 CHESTERFIELD PKWY, ,"MALVERN, PA 19355-8707",50011 - 1425 New York Ave NW,1415 NEW YORK AV NW,RPT 1425 NEW YORK AVE LLC,1992,Office,158124,86,59,59,185.4,185.4,2129.8,13.46917609,4304.2,4929136,0,38.89973061,-77.03259804
814,2,RREEF AMERICA REIT II CORP UU,PROPERTY TAX/DEPT 207,PO BOX 4900, ,"SCOTTSDALE, AZ 85261-4900",1120 G Street NW,1120 G ST NW,RREEF AMERICA REIT II CORP UU,1981,Office,180600,69,60.1,60.4,164,164.3,970.7,5.374861573,2227.9,2037228,17039.639,38.89801635,-77.02775911
38,1,RS WASHINGTON CORPORATION,TISHMAN SPEYER,45 ROCKEFELLER PLZ, ,"NEW YORK, NY 10111-0100",1775 Pennsylvania Avenue,1775 PENNSYLVANIA AV NW,RS WASHINGTON CORPORATION,1976,Office,309460,64,65,65,205,203,1330,4.297809087,"1,644",2911383,0,38.89987837,-77.0413409
92,1,RUTH E EVANS TRUSTEE, ,8455 COLESVILLE RD STE 1080, ,"SILVER SPRING, MD 20910-3319",Greenwood Manor,2337 - 2349 GREEN ST SE,GARY EVANS,1968,Multifamily Housing,106336,100,16,16,51,49,231,2.172359314,"7,056",504765,0,38.86115214,-76.98167613
49,1,RUTHENIUM LLC, ,1627 K ST NW # LL, ,"WASHINGTON, DC 20006-1702",Ruthenium,1331 H ST NW,RUTHENIUM LLC,1964,Office,90458,74,63,62,196,196,705,7.793672201,"1,781",1544141,0,38.90053681,-77.03066598
92,1,RUTLAND COURT OWNERS INC,TILTON BERNSTEIN MGMT,1827 14TH ST NW, ,"WASHINGTON, DC 20009-4425","Rutland Court Owners, Inc.",1725 17TH ST NW,RUTLAND COURT OWNERS INC,1918,Multifamily Housing,86244,100,43,44,53,53,222,2.574092111,"1,301",86356,34403,38.91354253,-77.03792145
128,1,S J GERSTENFELD,S J G PROPERTIES,805 15TH ST NW STE 230, ,"WASHINGTON, DC 20005-2207",1440 P Street,1440 - 1446 P ST NW,S J GERSTENFELD,1999,Supermarket/Grocery Store,81306,11,292,291,917,914,1524,18.74400413,"5,092,674",3336985,0,38.90929081,-77.03344313
830,2,S KANN SONS COMPANY,JOHN AKRIDGE CO,601 13TH ST NW STE 300N, ,"WASHINGTON, DC 20005-3870",0601 Thirteenth Street NW (Homer),0601 13TH ST NW,S KANN SONS COMPANY,1990,Office,678600,78,53,53,167,167,3274,4.824638963,"4,404",7167522,0,38.8978349,-77.02912697
841,2,SAINT DOMINIC'S CATHOLIC CHURCH, ,630 E ST SW, ,"WASHINGTON, DC 20024-2503",St Dominic Church and Priory,0630 E ST SW,SAINT DOMINICS CATHOLIC CHURCH,1875,Residence Hall/Dormitory,59784,0,86,83,145,140,420,7.025291048,"2,347",484960,37427,38.88300248,-77.0208612
805,2,SAINT JOHNS COLLEGE INC, ,2607 MILITARY RD NW, ,"WASHINGTON, DC 20015-1009",St John's College High School,2607 MILITARY RD NW,SAINT JOHNS COLLEGE INC,1961,Other - Education,265085,0,60,58,116,114,1383,5.217194485,"1,986",1968818,91146,38.96285301,-77.0549673
27,1,SALVATION ARMY,D BRUCE MAHEN RPA,2626 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1618",The Salvation Army,2626 PENNSYLVANIA AV NW,SALVATION ARMY,1974,Office,70814,29,84,83,262,260,366,5.168469512,453,801687,0,38.90401772,-77.05542508
5,1,SALVATION ARMY, ,2626 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1618",Harbor Light Center,2100 NEW YORK AV NE,SALVATION ARMY,1990,Residence Hall/Dormitory,60352,0,92,90,204,200,586,9.709703075,"2,442",976200,26390,38.91781719,-76.97433809
78,1,SAMUEL J SIMMONS NCBA ESTATES #1, ,1220 L ST NW STE 800, ,"WASHINGTON, DC 20005-4023",Samuel J. Simmons NCBA Estates,2801 14TH ST NW,SAMUEL J SIMMONS NCBA ESTATES #1,1983,Multifamily Housing,173751,36,59,59,108,108,856,4.926590351,"7,551",1122906,64557,38.92624444,-77.03170447
795,1,SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP, ,6 FANEUIL HALL MARKET PL, ,"BOSTON, MA 02109-6115",SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP,3300 14TH ST NW,SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP,1923,Multifamily Housing,149140,84,48.7,49,114.5,114.8,718,4.814268473,5400.9,1324328,27476.001,38.93091303,-77.03328884
6,1,SANG KWONCHIO, ,5999 STEVENSON AVE STE 310, ,"ALEXANDRIA, VA 22304-3302",1818 New York Ave.,1818 NEW YORK AV,SANG KWONCHIO,1964,Office,89079,99,30,30,79,79,315,3.53618698,530,618980,6159,38.91778226,-76.97690708
876,2,SASAKAWA PEACE FOUNDATION,J STREET COMPANY/ STE 170,1025 THOMAS JEFFERSON ST NW, ,"WASHINGTON, DC 20007-5201",Sasakawa Peace Foundation,1819 L ST NW,SASAKAWA PEACE FOUNDATION,1982,Office,70262,89,38.8,39.1,122,122.9,260.1,3.701858757,598,601954.9,0,38.9040208,-77.04244714
820,2,SAUL SUBSIDIARY II LTD, ,7501 WISCONSIN AVE STE 1500, ,"BETHESDA, MD 20814-6522",601 Pennsylvania Avenue,0601 PENNSYLVANIA AV NW,SAUL SUBSIDIARY II LTD,1986,Office,50188,68,71,71,222,222,2367,47.16266837,"5,367",5181944,0,38.89338834,-77.02052251
814,2,SAXONY COOPERATIVE APARTMENTS INC, ,1801 CLYDESDALE PL NW, ,"WASHINGTON, DC 20009-6042",Saxony Cooperative Apartments Inc.,1801 CLYDESDALE PL NW,SAXONY COOPERATIVE APARTMENTS INC,1949,Multifamily Housing,120823,100,30.3,30.4,55.9,55.9,279.6,2.314128932,3684.7,371675.2,20676.87875,38.92616991,-77.04344507
107,1,SCHOOL STREET ASSOCIATES LIMITED PARTNERSHIP,BOSTON PROPERTIES/UNIT 200,2200 PENNSYLVANIA AVE NW, ,"WASHINGTON, DC 20037-1701",500 E Street SW,0500 E ST SW,SCHOOL STREET ASSOCIATES,1987,Office,477381,86,66,66,207.1,207.1,2339.9,4.901535671,10746.5,5415246,0,38.88296652,-77.01897596
106,1,SCM SUB LLC, ,4920 ELM ST, ,"BETHESDA, MD 20814-2924",South Cathedral Mansions,2900 CONNECTICUT AV NW,DISTRICT INTOWN PROPERTIES LP,1922,Multifamily Housing,172570,29,70,66,131,126,1025,5.939618705,820,1379438,74438,38.92895093,-77.05522267
824,2,SECOND STREET HOLDINGS LLC,LOUIS DREYFUS PROP GP,1101 NEW YORK AVE NW # 909, ,"WASHINGTON, DC 20005-4269",Station Place I,0100 F ST,SECOND ST HOLDING LLC,2005,Office,929605,70,68.6,68.6,215.3,215.3,6967.1,7.494688604,23963.5,16124400,0,38.89800997,-77.0042521
809,2,SEDGEWICK DC OWNER LLC,THE GEORGETOWN COMPANY,667 MADISON AVE, ,"NEW YORK, NY 10065-8029",The Sedgewick,1722 19TH ST NW,SEDGEWICK DC OWNER LLC,1930,Multifamily Housing,70443,98,74,73,86,85,277,3.932257286,"1,527",78255,45337,38.91340379,-77.04387579
65,1,SELDAR DC HOLDING LLC, ,923 16TH ST NW, ,"WASHINGTON, DC 20006-1701",St. Regis Washington DC,0923 16TH ST,SRDC8 OWNER LLC,1926,Hotel,163249,25,122,121,265,265,2415,14.79335249,"10,506",3953781,114669,38.90205105,-77.03605409
853,2,SENTINEL SQUARE 1 LLC,COTTONWOOD PARTNERS,2750 E COTTONWOOD PKWY STE 560, ,"COTTONWOOD, UT 84121-7289",Sentinel Square I,90 K ST,SENTINEL SQUARE LLC,0,Office,450000,86,51,51,160,160,2975,6.611111111,"4,992",6512870,0,38.90291466,-77.00666723
826,2,SEVEN HUNDRED SECOND STREET HOLDINGS LLC,LOUIS DREYFUS PROPERTY GROUP,200 PARK AVE FL 33, ,"NEW YORK, NY 10166-0005",Station Place III,700 2ND ST,SEVEN HUNDRED 2ND STREET HOLDINGS LLC,2009,Other,755499,67,88.2,88.2,277,277,5828.2,7.714371561,8994.6,13488430,0,38.89951896,-77.00398261
30,1,SHC WASHINGTON LLC,"DEPASQUALE, KELLEY & COMPANY",19200 VON KARMAN AVE STE 1000, ,"IRVINE, CA 92612-8528",Four Seasons Washington DC,2800 PENNSYLVANIA AV NW,SHC WASHINGTON LLC,1976,Hotel,459534,21,130.4,130.7,282.5,282.8,5534.9,12.044593,27952.7,9379563,279255.046,38.90443381,-77.05751951
891,2,SHELDON B KAMINS TRUSTEES,"AMER FED OF TEACHER,ACCT DEPT",555 NEW JERSEY AVE NW, ,"WASHINGTON, DC 20001-2029",Capitol Place I,0555 NEW JERSEY AV NW,SHELDON B KAMINS TRUSTEES,1983,Office,216300,40,96.6,96.6,303.2,303.2,1830.9,8.464632455,"2,706",4237353,0,38.89705892,-77.01124935
96,1,SHERRY TOWERS APARTMENT HOTEL LP,SHERRY TOWERS HOTEL,2117 E ST NW, ,"WASHINGTON, DC 20037-2916",State Plaza Hotel,2117 E ST NW,SHERRY TOWERS APARTMENT HOTEL LP,1957,Hotel,94139,91,61,61,103,103,1384,14.70166456,"2,762",1599479,122972,38.89641064,-77.04750412
811,2,SHOREHAM WEST COOPERATIVE APARTMENTS INC, ,2700 CALVERT ST NW, ,"WASHINGTON, DC 20008-2621",Shoreham West Coop,2502 CALVERT ST NW,SHOREHAM WEST COOPERATIVE APARTMENTS INC,1964,Multifamily Housing,223693,30,61,61,120,120,1209,5.404728802,"3,476",1772176,75156,38.92282125,-77.05549684
816,2,SIDWELL FRIENDS SCHOOL,FINANCE OFFICE,3825 WISCONSIN AVE NW, ,"WASHINGTON, DC 20016-2907",SFS - Upper School,3901 - 3827 WISCONSIN AV NW,SIDWELL FRIENDS SCHOOL,1963,Parking,102140,85,65.1,65.4,172.1,172.5,587.8,5.754846289,1037.2,1204116,12726.016,38.93970499,-77.07398778
65,1,SILVER P LLC, ,7550 WISCONSIN AVE FL 10, ,"BETHESDA, MD 20814-3573",Hotel Palomar DC,2121 P ST,SILVER P LLC,2005,Hotel,249568,40,119.9,120.3,220.3,220.8,2407.1,9.645066675,"23,017",3289171,185774.632,38.90995138,-77.04740522
810,2,SKYLINE TOWERS ASSOCIATES LLC, ,2120 L ST NW STE 800, ,"WASHINGTON, DC 20037-1549",Skyline Towers Apartments,2730 WISCONSIN AV NW,SKYLINE TOWERS ASSOCIATES LLC,1940,Multifamily Housing,69522,0,88,88,122,122,404,5.811110152,"4,238",290103,51134,38.92592161,-77.07367279
2,1,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,EQUITY RESIDENTIAL,PO BOX 87407, ,"CHICAGO, IL 60680-0407",Park Connecticut,4411 CONNECTICUT AV,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,2000,Multifamily Housing,179395,35,47.7,47.8,124,123.7,921.1,5.134479779,4682.8,1860858,22043.348,38.94617599,-77.06415334
842,2,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC, ,PO BOX 87407, ,"CHICAGO, IL 60680-0407",2501 Porter,2501 PORTER ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,1988,Multifamily Housing,309058,86,26.7,39.1,93.3,60,794.77,2.571588504,6408.5,1182008.6,42041.3,38.935618,-77.05351097
827,2,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,EQUITY RESIDENTIAL,PO BOX 87407, ,"CHICAGO, IL 60680-0407",Cleveland House,2725 29TH ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,1953,Multifamily Housing,315129,82,54.6,54.9,94.2,94.2,1322.6,4.197011383,7126.6,1632141,116326.606,38.92428125,-77.05677606
839,2,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,EQUITY RESIDENTIAL,PO BOX 87407, ,"CHICAGO, IL 60680-0407",Calvert Woodley,2601 WOODLEY PL NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,1954,Multifamily Housing,206688,77,54.9,55.5,94.8,95.2,872.4,4.220854621,4239.7,1077431,76667.067,38.9239686,-77.05015606
835,2,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,AVALONBAY COMM INC TAX DEPT,671 N GLEBE RD STE 800, ,"ARLINGTON, VA 22203-2138",The Statesman,2020 F ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,1961,Multifamily Housing,179475,82,53.1,53.7,95.9,96.6,1100.8,6.133444769,6386.3,1467290,87960.918,38.89685162,-77.0460678
14,1,SMITH PROPERTY HOLDINGS ALBAN TOWERS LLC,EQUITY RESIDENTIAL,PO BOX 87407, ,"CHICAGO, IL 60680-0407",Alban Towers,3700 MASSACHUSETTS AV NW,SMITH PROPERTY HOLDINGS ALBAN TOWERS LLC,1934,Multifamily Housing,345169,17,59.2,73.4,155.9,120.3,1879.7,5.445738175,9867.3,2627882.2,114658.7,38.92818638,-77.07371788
804,2,SMITH PROPERTY HOLDINGS FIVE LP,TAX DEPT,671 N GLEBE RD STE 800, ,"ARLINGTON, VA 22203-2138",Avalon The Albemarle,4501 CONNECTICUT AV NW,SMITH PROPERTY HOLDINGS FIVE LP,1966,Multifamily Housing,365946,87,47.2,47.8,82.7,83.3,1344,3.672673017,9907.3,1699316,114885.967,38.94846302,-77.0652295
66,1,SMITH PROPERTY HOLDINGS KENMORE LP,AVALONBAY COMM IN TAX DEPT,671 N GLEBE RD STE 800, ,"ARLINGTON, VA 22203-2138",2950 Van Ness Street NW,2950 VAN NESS ST NW,SMITH PROPERTY HOLDINGS KENMORE LP,1900,Multifamily Housing,266382,64,12.3,39,117,42.4,385.16,1.445893491,"5,997",794522,240,38.94284292,-77.06118647
913,2,SNH MEDICAL OFFICE PROPERTIES TRUST,BRIAN HURLEY,255 WASHINGTON ST, ,"NEWTON, MA 02458-1637","1145 19TH, WASHINGTON, DC,  Site #535047",1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,1990,Medical Office,173812,69,69,66,188,182,1235,7.105378225,"6,633",2474682,19747,38.90505441,-77.04289334
79,1,SNH MEDICAL OFFICE PROPERTIES TRUST, ,400 CENTRE ST, ,"NEWTON, MA 02458-2094","2141 K Street, NW",2141 K ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,1966,Medical Office,166176,21,133,131,354,352,1268,7.630464086,"3,713",2483993,25140,38.90292806,-77.04803349
101,1,SOCIETY OF NEUROSCIENCE,AKRIDGE,601 13TH ST NW STE 300N, ,"WASHINGTON, DC 20005-3870",1121 Fourteenth Street NW (Neuroscience),1121 14TH ST,SOCIETY OF NEUROSCIENCE,2006,Office,112762,72,69.9,69.9,219.3,219.3,779.9,6.916337064,1562.7,1804945,0,38.90450017,-77.03159101
805,2,SOUSA ASSOCIATES LTD ASSOCIATES,HORNING BROTHERS,1350 CONN AVE NW STE 800, ,"WASHINGTON, DC 20036-1733",Stoneridge I,0310 - 0354 ANACOSTIA RD SE,SOUSA ASSOCIATES LTD ASSOCIATES,1971,Multifamily Housing,109280,14,71,71.5,141.8,142.3,670.6,6.136530015,7214.5,1031216,42389.428,38.88496202,-76.95437755
802,2,SOUTH CAPITOL HOLDINGS LLC, ,311 LINCOLN RD STE 200, ,"MIAMI BEACH, FL 33139-3150",Capitol Skyline Hotel,0010 I ST SW,SOUTH CAPITOL HOLDINGS LLC,1963,Hotel,171867,9,184,183,338,337,1615,9.396801015,"13,100",2140966,119947,38.8788391,-77.00990781
32,1,SOUTHEAST REALTY LLC, ,2000 TOWER OAKS BLVD # 800, ,"ROCKVILLE, MD 20852-4208",2 M STREET REDEV LLC,0020 M ST,SOUTHEAST REALTY LLC,2002,Multifamily Housing,297720,74,34,34,53,53,739,2.482198038,"5,432",708540,78158,38.87678837,-77.00789131
14,1,SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP,EDGEWOOD MGMT CORP,9711 WASHINGTONIAN BLVD STE, ,"GAITHERSBURG, MD 20878-7394",Congress Park II,1325 - 1333 SAVANNAH ST SE,SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP,1948,Multifamily Housing,56580,100,3,3,10,10,62,1.095793567,"13,172",135842,0,38.84322793,-76.98707425
44,1,SOUTHERN BUILDING ASSOCIATES LLP,S J G PROPERTIES,805 15TH ST NW STE 625, ,"WASHINGTON, DC 20005-2254",The Southern Building,1425 H ST NW,SOUTHERN BUILDING ASSOCIATES LLP,1915,Office,226531,69,75,73,204,201,1607,7.093951821,"6,112",3216867,25936,38.90054128,-77.0331877
809,2,SOUTHWEST CAPITOL ASSOCIATES LLC, ,2101 WISCONSIN AVE NW, ,"WASHINGTON, DC 20007-2232",Residence Inn Capitol,333 E ST,SOUTHWEST CAPITOL ASSOCIATES LLC,2005,Hotel,235962,59,76,76,174,174,1460,6.18743696,"9,769",2508478,59247,38.88367447,-77.01596309
861,2,SQUARE 516 OFFICE VENTURE LLC,UNIT 202,455 MASSACHUSETTS AVE NW, ,"WASHINGTON, DC 20001-2621",455 Mass. Avenue,455 MASSACHUSETTS AV,SQUARE 516S OFFICE VENTURE LLC,2008,Office,357180,91,58.5,68,217,187.7,2151.16,6.022621647,"4,546",4452197.1,0,38.90104029,-77.01756157
810,2,SQUARE 537 ASSOCIATES LLC,REBECCA OWEN/15TH FL,7500 OLD GEORGETOWN RD, ,"BETHESDA, MD 20814-6133",Capitol View,425 3RD ST,SQUARE 537 ASSOCIATES LP,2007,Office,317623,80,71,71,214,214,2315,7.288515,"5,610",4951199,9992,38.88361564,-77.01554152
39,1,SQUARE 742 LLC,SPAULDING & SLYE/STE 100,1100 NEW JERSEY AVE SE, ,"WASHINGTON, DC 20003-3302",Square 742 LLC,1100 NEW JERSEY AV,SQUARE 742 LLC,2003,Office,409428,91,69,69,202,202,2623,6.406498823,"7,084",5509427,20122,38.87704972,-77.0039438
866,2,SQUARE N515 ASSOCIATES LLC,PARADIGM SQUARE N515 ASSOC LLC,1415 N TAFT ST APT 100, ,"ARLINGTON, VA 22201-2676",Square N515,0442-0444 NEW YORK AV,SQUARE N515 ASSOCIATES LLC,2012,Multifamily Housing,414571,100,13,13,40,40,581,1.401448727,"10,377",1262312,810,38.90406551,-77.01728763
828,2,ST PATRICK'S CHURCH, ,619 10TH ST NW, ,"WASHINGTON, DC 20001-4527",0975 F Street NW (Carroll Square),977 F ST,ST PATRICKS CHURCH,2006,Office,179929,100,33,33,69,69,557,3.095665513,"3,862",872724,29786,38.89765657,-77.02541141
113,1,STERLING GUNSTON LLC,BERNSTEIN MGT,5301 WISCONSIN AVE NW STE 600, ,"WASHINGTON, DC 20015-2044",Dupont Executive,1633 Q ST NW,STERLING GUNSTON LLC,1988,Multifamily Housing,73942,0,37,36,91,90,234,3.164642558,825,434926,6571,38.91138446,-77.03814664
98,1,STODDARD BAPTIST HOME INC,"MAHESH TYAGI, CFO",1818 NEWTON ST NW, ,"WASHINGTON, DC 20010-1017",Stoddard Baptist Home Inc,1818 NEWTON ST NW,STODDARD BAPTIST HOME INC,1889,Senior Care Community,63886,1,243,242,471,467,1215,19.01825126,"6,261",1733132,79792,38.93392734,-77.04271093
58,1,STORAGE PORTFOLIO LLC, ,PO BOX 320099, ,"ALEXANDRIA, VA 22320-4099",0776-Washington - U Street NW,1420 U ST NW,STORAGE PORTFOLIO LLC,2009,Non-Refrigerated Warehouse,189805,39,12.3,12.3,38.6,38.6,158.7,0.836121282,279,367174,0,38.91660058,-77.03292305
855,2,STREET RETAIL INC, ,1626 E JEFFERSON ST, ,"ROCKVILLE, MD 20852-4041",Friendship Center,5333 WISCONSIN AV NW,STREET RETAIL INC,1998,Other,86379,0,97,149,245.7,406,885.6,10.25249193,4354,1750436,24362.058,38.95977414,-77.08453487
